active_rank,player_name,rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
,orangeorchad,2008.95,4,0.13,2025-07-29,103,1.05,False
,The_Red_715,2008.89,13,0.43,2025-10-20,20,1.25,False
22,Barbaferro,2005.97,31,1.0,2025-11-07,2,1.025,True
,Siker_7,1997.4,2,0.07,2025-10-23,17,1.25,False
,ivanmarsiy,1982.34,2,0.07,2025-08-28,73,1.025,False
,Thordendal,1981.42,1,0.03,2025-10-01,39,1.0,False
,einarrahyem,1979.73,1,0.03,2025-07-30,102,1.0,False
,obj. obj. obj.,1978.57,6,0.2,2025-09-28,42,1.025,False
,Souzam,1978.44,2,0.07,2025-07-28,104,1.025,False
,KlavierAchse,1976.33,1,0.03,2025-07-28,104,1.0,False
,Little piece of,1967.55,1,0.03,2025-10-12,28,1.0,False
23,ppr74,1960.63,32,1.0,2025-11-05,4,1.125,True
,Trogdor - The Burninator,1957.49,1,0.03,2025-07-23,109,1.0,False
,ZasZ234,1956.74,1,0.03,2025-08-01,100,1.0,False
,Nerro,1951.15,1,0.03,2025-08-03,98,1.0,False
,axeman6199,1950.09,1,0.03,2025-11-09,0,1.0,False
,User,1949.61,1,0.03,2025-07-26,106,1.0,False
,Apxangel,1946.37,1,0.03,2025-07-28,104,1.0,False
,deadgast,1945.71,18,0.6,2025-10-26,14,1.025,False
,TheDimOne,1943.32,4,0.13,2025-10-21,19,1.1,False
,StrangeShrimp,1943.1,2,0.07,2025-07-25,107,1.025,False
,ricardo_lbrugnago,1941.83,6,0.2,2025-11-09,0,1.25,False
,BattleOfWits,1937.98,1,0.03,2025-08-11,90,1.0,False
,Roob82,1934.94,2,0.07,2025-10-25,15,1.25,False
,Ongon,1934.43,1,0.03,2025-10-03,37,1.0,False
,Devily,1932.82,3,0.1,2025-08-27,74,1.25,False
,不要杀海豹,1929.74,1,0.03,2025-08-16,85,1.0,False
,shikanopi,1927.95,1,0.03,2025-08-09,92,1.0,False
,fum,1923.89,1,0.03,2025-09-25,45,1.0,False
,Ezamaru,1922.87,1,0.03,2025-09-26,44,1.0,False
,Mrponyguy22,1922.51,1,0.03,2025-07-26,106,1.0,False
,[FUR]一只果仁喵,1920.76,1,0.03,2025-08-26,75,1.0,False
,llstevens86,1918.84,1,0.03,2025-07-24,108,1.0,False
,CORREO,1917.18,1,0.03,2025-10-07,33,1.0,False
,Digo_Peru🦃🦃,1916.72,1,0.03,2025-08-13,88,1.0,False
,LongtimeBrute,1916.15,1,0.03,2025-08-15,86,1.0,False
,Empty Inside,1914.69,3,0.1,2025-09-27,43,1.025,False
,JT Sunwalker,1912.42,1,0.03,2025-07-31,101,1.0,False
,admiral_hackbar,1908.97,1,0.03,2025-10-29,11,1.0,False
,Motorni,1908.11,2,0.07,2025-09-15,55,1.05,False
,Skinofgods,1907.82,1,0.03,2025-07-28,104,1.0,False
,P33peePOTTER,1905.15,4,0.13,2025-08-28,73,1.025,False
,Cyberstein2077,1895.41,1,0.03,2025-07-26,106,1.0,False
,Sleepy ;-;,1895.36,1,0.03,2025-08-24,77,1.0,False
,Toman804,1895.28,7,0.23,2025-10-11,29,1.175,False
,Primo Tinhoso,1892.32,1,0.03,2025-08-26,75,1.0,False
,NakedKnives,1890.06,1,0.03,2025-10-16,24,1.0,False
,RicoLoco52,1887.65,3,0.1,2025-11-07,2,1.075,False
,twitch.tv/BruceUnderRock,1877.12,1,0.03,2025-10-25,15,1.0,False
,oofisthememe47,1876.57,1,0.03,2025-07-30,102,1.0,False
,SaibaPanku,1873.35,1,0.03,2025-10-10,30,1.0,False
,Ekkon,1869.88,1,0.03,2025-08-12,89,1.0,False
,selbyliu,1868.79,1,0.03,2025-08-06,95,1.0,False
,austin_midd,1866.61,1,0.03,2025-09-27,43,1.0,False
,AdrianTheMiguel,1863.3,1,0.03,2025-10-02,38,1.0,False
24,masterv5983,1859.04,69,1.0,2025-11-09,0,1.025,True
,jmatuszek,1857.67,1,0.03,2025-10-10,30,1.0,False
,Kenny,1854.55,9,0.3,2025-08-25,76,1.025,False
,Shoshone,1853.91,9,0.3,2025-09-21,49,1.15,False
,szekely.gyorgyb52,1852.82,1,0.03,2025-11-03,6,1.0,False
,Disciple of Rot,1849.91,1,0.03,2025-10-18,22,1.0,False
,kluseczki,1840.06,2,0.07,2025-07-26,106,1.025,False
,nico-hobbit,1831.39,1,0.03,2025-09-27,43,1.0,False
,Sboro,1827.03,1,0.03,2025-10-03,37,1.0,False
,Houseb,1813.67,3,0.1,2025-07-30,102,1.025,False
,jamzilla.t,1812.79,2,0.07,2025-07-28,104,1.025,False
,King-Otter,1812.07,1,0.03,2025-10-16,24,1.0,False
,BlackAtlas,1811.48,1,0.03,2025-09-22,48,1.0,False
,macfield,1811.45,1,0.03,2025-10-11,29,1.0,False
,Am0n-Ra,1810.91,1,0.03,2025-07-23,109,1.0,False
,ralfantoine0017,1810.65,1,0.03,2025-08-02,99,1.0,False
,ARMADA,1809.99,4,0.13,2025-08-10,91,1.25,False
,tom.hopkin,1803.6,4,0.13,2025-10-26,14,1.175,False
