rank,player_name,rating,games_played,confidence,last_seen
275,Niclas,1501.09,1,0.03,2025-10-24
276,ricardo_lbrugnago,1500.96,6,0.2,2025-11-09
277,Bubblez,1500.65,1,0.03,2025-10-23
278,mitchellangelo,1500.43,3,0.1,2025-11-04
279,Sweet Tea Tony,1500.25,1,0.03,2025-08-02
280,Meh,1500.0,1,0.03,2025-08-23
281,lemons_bread,1500.0,1,0.03,2025-07-30
282,cannedLED,1499.74,1,0.03,2025-11-05
283,Jannik,1499.34,2,0.07,2025-09-07
284,Lemme Smaash,1498.79,1,0.03,2025-09-10
285,lil guy,1498.56,1,0.03,2025-07-24
286,slaaneshtgof,1497.86,16,0.53,2025-11-09
287,SomeDrunkPyrate,1497.73,1,0.03,2025-07-28
288,Lasiomus,1496.33,1,0.03,2025-09-02
289,Nikogda,1496.21,1,0.03,2025-09-25
290,Buffman,1495.98,1,0.03,2025-10-25
291,k.a.jazgar,1495.55,4,0.13,2025-10-30
292,MrPagoS,1495.48,1,0.03,2025-08-07
293,Nyx,1495.3,1,0.03,2025-11-07
294,bogman,1494.68,1,0.03,2025-08-17
295,iowegianmoore,1494.07,4,0.13,2025-08-21
296,OreLand'a,1493.87,1,0.03,2025-09-13
297,G.Marshall,1493.79,2,0.07,2025-07-29
298,ЯэтоЯ,1493.72,1,0.03,2025-07-27
299,danikowskistanislaw,1493.71,1,0.03,2025-10-21
300,柳三千,1493.51,1,0.03,2025-09-12
301,Steven,1493.34,4,0.13,2025-08-01
302,Boudah,1493.33,3,0.1,2025-11-06
303,DuckyDooDoo2,1492.73,1,0.03,2025-08-26
304,dboon,1492.11,4,0.13,2025-07-30
305,EternitysFlame,1492.02,1,0.03,2025-08-23
306,Arden the Barden,1491.94,1,0.03,2025-11-01
307,junorus,1491.04,1,0.03,2025-10-01
308,Umbre (der Hopfmann),1490.72,1,0.03,2025-07-28
309,herbonniered,1490.48,1,0.03,2025-08-13
310,zephyr_goldwing,1490.4,2,0.07,2025-08-01
311,Darkest Dota,1490.15,1,0.03,2025-09-21
312,agent thale,1489.94,1,0.03,2025-09-14
313,tiamats4esgares,1489.44,3,0.1,2025-08-09
314,ZedHound,1489.03,1,0.03,2025-10-25
315,Fikachu,1488.93,1,0.03,2025-09-25
316,OdinsGuard94,1488.9,1,0.03,2025-08-05
317,khang.pham2401,1488.65,2,0.07,2025-09-23
318,Pane,1488.55,1,0.03,2025-09-29
319,Daiya,1488.37,1,0.03,2025-09-08
320,UnknownEnemy,1487.92,1,0.03,2025-09-26
321,Yngvi,1487.52,23,0.77,2025-10-17
322,john,1487.09,1,0.03,2025-10-06
323,jamesncg,1487.09,1,0.03,2025-10-21
324,ThatDudeSki69,1486.77,1,0.03,2025-11-08
325,cyanx7,1486.7,1,0.03,2025-10-07
326,ry4n.playerb0x,1486.69,1,0.03,2025-11-07
327,Monty,1486.41,1,0.03,2025-11-03
328,Shad0wstalker87,1486.2,1,0.03,2025-08-26
329,Zemium,1485.88,1,0.03,2025-07-26
330,[A.S.E.S] NanoDevil,1485.81,5,0.17,2025-08-24
331,Liz,1485.21,19,0.63,2025-10-13
332,Kenny,1485.11,9,0.3,2025-08-25
333,$erpent,1484.59,1,0.03,2025-11-06
334,Bio,1484.52,1,0.03,2025-09-28
335,nopX0f,1483.98,1,0.03,2025-10-16
336,tyoshea,1483.86,1,0.03,2025-10-22
337,Bayneish,1483.64,1,0.03,2025-09-27
338,lapunir,1483.3,1,0.03,2025-10-09
339,MootDasBoot,1483.08,1,0.03,2025-10-30
340,GHOST RIZZLER,1482.23,1,0.03,2025-11-01
341,kk1717,1482.15,1,0.03,2025-10-25
342,Zane,1482.04,1,0.03,2025-08-01
343,ShawnQ,1482.03,1,0.03,2025-09-25
344,Lance,1482.01,1,0.03,2025-09-24
345,izikvasque,1481.88,1,0.03,2025-07-25
346,Salam,1480.49,1,0.03,2025-07-29
347,Feeter Parker,1480.37,1,0.03,2025-10-19
348,LegendOfNox,1480.34,1,0.03,2025-07-27
349,Steve Aoki,1480.32,1,0.03,2025-09-12
350,AncientElm,1480.25,1,0.03,2025-08-12
351,Don Bolsack aka The crust Fist,1479.77,3,0.1,2025-07-30
352,willyzj,1479.46,1,0.03,2025-10-06
353,mikan,1479.19,3,0.1,2025-09-07
354,Robert,1479.01,2,0.07,2025-10-18
355,JY78993,1478.43,2,0.07,2025-10-22
356,bum8484,1478.33,1,0.03,2025-08-04
357,Xanthum,1477.88,1,0.03,2025-10-21
358,dltarex,1477.8,1,0.03,2025-10-04
359,₦-S℧M,1477.71,2,0.07,2025-09-14
360,Causal,1477.34,1,0.03,2025-09-21
361,Von_Speyr,1477.22,1,0.03,2025-10-05
362,dicksposable,1476.8,1,0.03,2025-07-28
363,woody.martin,1476.3,1,0.03,2025-07-24
364,SpiritingEzlo,1476.25,1,0.03,2025-09-27
365,R_QU,1476.17,2,0.07,2025-07-25
366,numpty,1476.04,1,0.03,2025-11-08
367,MrPitos,1475.52,1,0.03,2025-08-03
368,alejjop,1475.51,1,0.03,2025-10-25
369,Laristin,1475.46,1,0.03,2025-08-10
370,Lypus,1475.37,1,0.03,2025-09-25
371,acestones,1474.45,1,0.03,2025-07-31
372,Lucastrian,1474.42,1,0.03,2025-08-06
373,Lord Adi,1474.27,1,0.03,2025-08-29
374,Yman228,1473.86,2,0.07,2025-09-30
375,skullsplitter,1473.27,1,0.03,2025-10-19
376,toshio,1473.04,1,0.03,2025-07-27
377,John Handerson,1472.9,1,0.03,2025-10-20
378,Serratus,1472.79,1,0.03,2025-10-18
379,RedRevel,1472.03,1,0.03,2025-09-14
380,camfromchilla,1471.18,3,0.1,2025-09-26
381,(Chatuba)-Mazuru,1471.1,1,0.03,2025-10-04
382,凱特輝FKG,1470.64,1,0.03,2025-08-02
383,r.pawlowski82,1470.59,1,0.03,2025-09-17
384,Diamond_Dawg,1470.45,3,0.1,2025-11-04
385,Word [BR],1470.21,1,0.03,2025-09-16
386,In_sanity,1469.95,1,0.03,2025-10-30
387,lordxjello,1469.5,1,0.03,2025-07-24
388,rafael.olvb,1468.93,1,0.03,2025-10-25
389,seb,1468.69,1,0.03,2025-08-21
390,Difflo,1468.44,1,0.03,2025-08-08
391,davemadasafish,1468.06,1,0.03,2025-08-05
392,gvoice,1468.04,1,0.03,2025-07-28
393,饼饼大王,1467.55,1,0.03,2025-08-20
394,lukasz.wrobel2,1467.4,1,0.03,2025-10-07
395,kwork,1466.79,2,0.07,2025-10-12
396,Ammendum,1466.55,7,0.23,2025-08-04
397,mlehtan,1466.43,1,0.03,2025-07-27
398,Sturm,1466.43,1,0.03,2025-07-29
399,Toasted Knubs,1466.32,2,0.07,2025-08-30
400,xXBeefinatorXx,1466.28,1,0.03,2025-08-12
401,MATDAX,1466.15,1,0.03,2025-08-27
402,nibemben,1466.13,3,0.1,2025-09-26
403,Fenz,1465.71,2,0.07,2025-11-09
404,11Napo11,1465.69,1,0.03,2025-08-29
405,BigAl227,1464.22,1,0.03,2025-07-23
406,Embrião du Mal,1463.53,1,0.03,2025-08-02
407,Jlerpy,1463.39,1,0.03,2025-08-16
408,TheHunter222,1462.64,21,0.7,2025-11-06
409,Dragonflash,1462.34,2,0.07,2025-08-16
410,XxPolakenxX,1462.04,2,0.07,2025-08-18
411,Modi34,1461.94,3,0.1,2025-09-24
412,nAhZz,1461.47,1,0.03,2025-08-13
413,SAB3600,1461.34,2,0.07,2025-07-26
414,HayRid,1460.79,1,0.03,2025-09-26
415,JohnRust,1459.93,2,0.07,2025-09-15
416,LTex,1459.38,2,0.07,2025-11-07
417,Miki,1459.11,2,0.07,2025-10-22
418,Ucicke,1458.96,1,0.03,2025-08-04
